Mosque_ID,Name,Street,City,State,ZCTA,Latitude,Longitude,Urbanization_Cat,Year_Est,Status,Source,Transit_score,Walk_score ,NND,NRI,Reference_ID
1,Islamic Center of Alaska,4141 Ingra No. 202,Anchorage,AK,99503,,,,2016,,https://www.alaskamasjid.org,,,,,1195
2,"Muslim Community of Alaska, Inc (Masjid Ash-Shura of Alaska)",927 W Fireweed Ln Unit A,Anchorage,AK,99503,,,,2010,,"https://en.wikipedia.org/wiki/Islamic_Community_Center_of_Anchorage_Alaska#:~:text=The%20Islamic%20Community%20Center%20of,northernmost%20mosque%20in%20North%20America.",,,,,2262
3,Islamic Community Center of Anchorage,8005 Spring Street,Anchorage,AK,99518,,,,2010,,https://en.wikipedia.org/wiki/Islamic_Community_Center_of_Anchorage_Alaska,,,,,736
4,Islamic Community Center of Anchorage (Alaska Mosque),8005 Spring St,Anchorage,AK,99518,,,,2014,,https://kids.kiddle.co/Islamic_Community_Center_of_Anchorage_Alaska,,,,,2261
5,Masjid Alaska,501 E International rd Suite 26,Anchorage,AK,99518,,,,2014,,https://theworld.org/stories/2014/08/26/alaskas-first-mosque-opens-its-doors,,,,,1775
6,Dar-e-Zahra,1907 AL-150,Bessemer,AL,35022,,,,2020,,https://www.darezahra.com/about-1,,,,,2713
7,BIS Fairfield Islamic Center,740 Donald Pkwy,Fairfield,AL,35064,,,,1990,,https://www.bisweb.org/history/,,,,,2257
8,Bis West Side Masjid,4506 Gary ave,Fairfield,AL,35064,,,,2010,,https://magiccityreligion.org/2021/11/29/west-side-masjid/,,,,,994
9,Masjid Al-Qubbatu Al-Khadra,1009 Cr 332,Pelham,AL,35124,,,,2002,,https://www.bizjournals.com/birmingham/news/2025/07/14/islamic-org-buys-vacant-church-property.html,,,,,1738
10,Masjid Al Quran,3424 26th st N,Birmingham,AL,35207,,,,-,No Basic Information,,,,,,1620
11,BIS Homewood Masjid,1810 25th Ct S,Homewood,AL,35209,,,,1995,,https://magiccityreligion.org/2019/12/17/homewood-masjid/,,,,,2254
