Mosque_ID,Name,Street,City,State,ZCTA,Latitude,Longitude,Urbanization_Cat,Year_Est,Status,Source,Transit_score,Walk_score,NND,NRI,Reference_ID,geocode_method,HH_Income,Poverty_Rate,HH_Size
1,Islamic Center of Alaska,4141 Ingra No. 202,Anchorage,AK,99503,61.183398443276,-149.86616610748,,2016,,https://www.alaskamasjid.org,,57.0,,,1195.0,census_geocoder,76144,16.437718277066356,2.08
2,"Muslim Community of Alaska, Inc (Masjid Ash-Shura of Alaska)",927 W Fireweed Ln Unit A,Anchorage,AK,99503,61.198824914531,-149.899817691989,,2010,,"https://en.wikipedia.org/wiki/Islamic_Community_Center_of_Anchorage_Alaska#:~:text=The%20Islamic%20Community%20Center%20of,northernmost%20mosque%20in%20North%20America.",43.0,90.0,,,2262.0,census_geocoder,76144,16.437718277066356,2.08
3,Islamic Community Center of Anchorage,8005 Spring Street,Anchorage,AK,99518,61.148284558697,-149.861926179423,,2010,,https://en.wikipedia.org/wiki/Islamic_Community_Center_of_Anchorage_Alaska,36.0,61.0,,,736.0,census_geocoder,93995,7.829656233966137,2.32
4,Islamic Community Center of Anchorage (Alaska Mosque),8005 Spring St,Anchorage,AK,99518,61.148284558697,-149.861926179423,,2014,,https://kids.kiddle.co/Islamic_Community_Center_of_Anchorage_Alaska,36.0,61.0,,,2261.0,census_geocoder,93995,7.829656233966137,2.32
5,Masjid Alaska,501 E International rd Suite 26,Anchorage,AK,99518,61.173676651315,-149.875454153447,,2014,,https://theworld.org/stories/2014/08/26/alaskas-first-mosque-opens-its-doors,53.0,84.0,,,1775.0,census_geocoder,93995,7.829656233966137,2.32
6,Dar-e-Zahra,1907 AL-150,Bessemer,AL,35022,33.367346996322,-86.890122930332,,2020,,https://www.darezahra.com/about-1,,6.0,,,2713.0,census_geocoder,81846,12.233391608391608,2.40
7,BIS Fairfield Islamic Center,740 Donald Pkwy,Fairfield,AL,35064,33.4958267,-86.9080237,,1990,,https://www.bisweb.org/history/,,47.0,,,2257.0,nominatim,48692,31.879268561357126,2.39
8,Bis West Side Masjid,4506 Gary ave,Fairfield,AL,35064,33.492035028434,-86.914698645115,,2010,,https://magiccityreligion.org/2021/11/29/west-side-masjid/,,46.0,,,994.0,census_geocoder,48692,31.879268561357126,2.39
9,Masjid Al-Qubbatu Al-Khadra,1009 Cr 332,Pelham,AL,35124,33.280190583242,-86.763769388323,,2002,,https://www.bizjournals.com/birmingham/news/2025/07/14/islamic-org-buys-vacant-church-property.html,,42.0,,,1738.0,census_geocoder,99726,6.880533608607616,2.55
10,Masjid Al Quran,3424 26th st N,Birmingham,AL,35207,33.555844509679,-86.819779673187,,-,No Basic Information,,24.0,47.0,,,1620.0,census_geocoder,31486,39.87547022960176,2.47
